temperatureInfrastructureSensor1,temperatureInfrastructureSensor2,temperatureInfrastructureSensor3,externalTemperature,temperatureParcel,humidityInfrastructureSensor,currentClampValue,hvacStateOn,hvacStateValue,time
25.00168870779135,25.003386893780498,25.0016842591343,35,NULL,30.5,0,0,NULL,1
25.003354002003714,25.00692343755794,25.003465570720437,35,NULL,30.5,0,0,NULL,2
25.007676943219714,25.01146593720151,25.00576609134843,35,NULL,30.5,0,0,NULL,3
25.013902551922342,25.01683329063162,25.00849700798228,35,NULL,30.5,0,0,NULL,4
25.021367987933715,25.02287448677531,25.01170841505921,35,NULL,30.5,0,0,NULL,5
25.029665618536306,25.02946899114433,25.01543802029486,35,NULL,30.5,0,0,NULL,6
25.038547139845072,25.036521597547413,25.01968283474189,35,NULL,30.5,0,0,NULL,7
25.047854365415816,25.04395690124138,25.024412070890456,35,NULL,30.5,0,0,NULL,8
25.05748142138723,25.051714695834423,25.02958229511742,35,NULL,30.5,0,0,NULL,9
25.067354331883685,25.059746423889646,25.035147067892748,35,NULL,30.5,0,0,NULL,10
25.077419537162765,25.068012509587298,25.041061873416716,35,NULL,30.5,0,0,NULL,11
25.087637108767083,25.076480365208365,25.047286208328977,35,NULL,30.5,0,0,NULL,12
25.097976550265205,25.08512289600331,25.05378418055322,35,NULL,30.5,0,0,NULL,13
25.108414090857558,25.093917370306617,25.06052440072377,35,NULL,30.5,0,0,NULL,14
25.118930879414165,25.10284455761981,25.06747957821332,35,NULL,30.5,0,0,NULL,15
25.129511742885118,25.11188806446388,25.07462602581811,35,NULL,30.5,0,0,NULL,16
25.14014431047242,25.121033817396643,25.081943167923413,35,NULL,30.5,0,0,NULL,17
25.15081838184298,25.130269656559072,25.089413091846524,35,NULL,30.5,0,0,NULL,18
25.161525462364395,25.13958501304396,25.09702015521906,35,NULL,30.5,0,0,NULL,19
25.17225841523969,25.148970650457876,25.104750649840092,35,NULL,30.5,0,0,NULL,20
25.183011197098494,25.15841845612023,25.112592517183202,35,NULL,30.5,0,0,NULL,21
25.193778654232585,25.167921271004786,25.120535108980697,34.999999999999986,NULL,30.5,0,0,NULL,22
