id,gatewayId,"containerTemperature1 - 10",containerTemperatureSensorId1,"containerTemperature2 - 10",containerTemperatureSensorId2,"containerTemperature3 - 10",containerTemperatureSensorId3,"humidityValue - 10","humidityTemperature - 10",humiditySensorId,hvacStateOn,"hvacStateValue - 10",hvacActuatorId,"currentClampValue - 10",currentClampSensorId,"externalTemperature - 10","externalTemperatureId - 10","parcelTemperature - 10",parcelTemperatureSensorId,timestamp
-1,GATEWAY,18.3,80_00_00_00_00_01,17.54,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:09"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.55,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:14"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.55,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:20"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.55,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:24"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.55,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:29"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.55,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:34"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.55,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:39"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.55,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:44"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.55,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:49"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.56,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:54"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.56,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:59"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.56,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:20:04"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.56,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:20:09"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.56,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:20:14"
