temperatureInfrastructureSensor1,temperatureInfrastructureSensor2,temperatureInfrastructureSensor3,externalTemperature,temperatureParcel,humidityInfrastructureSensor,currentClampValue,hvacStateOn,hvacStateValue,time
23.22716369,27.2238827,27.36370435,35,23.22716369,0,0,0,0,2014-10-17T12:27:37.344+03:00
23.36567522,27.24634384,27.39312788,35,23.36567522,0,0,0,0,2014-10-17T12:27:52.345+03:00
23.43357445,27.29100525,27.45091831,35,23.43357445,0,0,0,0,2014-10-17T12:28:07.345+03:00
23.55688438,27.3098872,27.47507027,35,23.55688438,0,0,0,0,2014-10-17T12:28:22.347+03:00
23.62232653,27.35409866,27.53098548,35,23.62232653,0,0,0,0,2014-10-17T12:28:37.347+03:00
23.75074481,27.37609663,27.55848201,35,23.75074481,0,0,0,0,2014-10-17T12:28:52.349+03:00
23.81375489,27.41989177,27.61260056,35,23.81375489,0,0,0,0,2014-10-17T12:29:07.349+03:00
23.9374588,27.44169422,27.63924055,35,23.9374588,0,0,0,0,2014-10-17T12:29:22.350+03:00
23.9951654,27.48403791,27.69042474,35,23.9951654,0,0,0,0,2014-10-17T12:29:37.351+03:00
24.11451079,27.52724593,27.7162969,35,24.11451079,0,0,0,0,2014-10-17T12:29:52.352+03:00
24.17020909,27.54877049,27.76731358,35,24.17020909,0,0,0,0,2014-10-17T12:30:07.352+03:00
24.28545189,27.56917177,27.79121981,35,24.28545189,0,0,0,0,2014-10-17T12:30:22.354+03:00
24.34207483,27.61197774,27.84089381,35,24.34207483,0,0,0,0,2014-10-17T12:30:37.354+03:00
24.44788403,27.63224456,27.8629681,35,24.44788403,0,0,0,0,2014-10-17T12:30:52.356+03:00
24.49721302,27.67265577,27.9102288,35,24.49721302,0,0,0,0,2014-10-17T12:31:07.369+03:00
24.60506924,27.69386121,27.93298221,35,24.60506924,0,0,0,0,2014-10-17T12:31:22.357+03:00
24.65810826,27.7350898,27.98032986,35,24.65810826,0,0,0,0,2014-10-17T12:31:37.358+03:00
24.76246553,27.75617165,28.00373203,35,24.76246553,0,0,0,0,2014-10-17T12:31:52.359+03:00
24.81380593,27.79821458,28.05001739,35,24.81380593,0,0,0,0,2014-10-17T12:32:07.360+03:00
24.90986126,27.81812964,28.07062789,35,24.90986126,0,0,0,0,2014-10-17T12:32:22.361+03:00
24.95965118,27.85889857,28.11596545,35,24.95965118,0,0,0,0,2014-10-17T12:32:37.361+03:00
25.05769603,27.90056265,28.13840256,35,25.05769603,0,0,0,0,2014-10-17T12:32:52.363+03:00
25.10356811,27.92133847,28.18283308,35,25.10356811,0,0,0,0,2014-10-17T12:33:07.363+03:00
25.19871408,27.94104109,28.20373722,35,25.19871408,0,0,0,0,2014-10-17T12:33:22.365+03:00
25.243247,27.98137905,28.24625774,35,25.243247,0,0,0,0,2014-10-17T12:33:37.365+03:00
25.33565022,28.0020111,28.26786717,35,25.33565022,0,0,0,0,2014-10-17T12:33:52.366+03:00
25.38118174,28.04316575,28.31070321,35,25.38118174,0,0,0,0,2014-10-17T12:34:07.368+03:00
25.46872162,28.06266322,28.33087708,35,25.46872162,0,0,0,0,2014-10-17T12:34:22.368+03:00
25.51298974,28.1036033,28.37299761,35,25.51298974,0,0,0,0,2014-10-17T12:34:37.368+03:00
25.59813086,28.14337984,28.39284318,35,25.59813086,0,0,0,0,2014-10-17T12:34:52.370+03:00
25.63905695,28.16372433,28.43429551,35,25.63905695,0,0,0,0,2014-10-17T12:35:07.370+03:00
25.72406692,28.18403231,28.45485982,35,25.72406692,0,0,0,0,2014-10-17T12:35:22.372+03:00
25.76600044,28.22453836,28.49567633,35,25.76600044,0,0,0,0,2014-10-17T12:35:37.372+03:00
25.84875737,28.24473621,28.51593294,35,25.84875737,0,0,0,0,2014-10-17T12:35:52.373+03:00
25.88552584,28.28301023,28.55315004,35,25.88552584,0,0,0,0,2014-10-17T12:36:07.374+03:00
25.96621335,28.30310055,28.57313177,35,25.96621335,0,0,0,0,2014-10-17T12:36:22.375+03:00
26.00207343,28.34116906,28.61084311,35,26.00207343,0,0,0,0,2014-10-17T12:36:37.376+03:00
26.08079122,28.36115054,28.63154448,35,26.08079122,0,0,0,0,2014-10-17T12:36:52.377+03:00
26.11965852,28.40099972,28.6707103,35,26.11965852,0,0,0,0,2014-10-17T12:37:07.377+03:00
26.19643673,28.42086705,28.68919517,35,26.19643673,0,0,0,0,2014-10-17T12:37:22.379+03:00
26.23057968,28.45850896,28.72690498,35,26.23057968,0,0,0,0,2014-10-17T12:37:37.379+03:00
26.30557167,28.47826431,28.74612469,35,26.30557167,0,0,0,0,2014-10-17T12:37:52.380+03:00
