temperatureInfrastructureSensor1,temperatureInfrastructureSensor2,temperatureInfrastructureSensor3,externalTemperature,temperatureParcel,humidityInfrastructureSensor,currentClampValue,hvacStateOn,hvacStateValue,time
25.00168871,25.00338689,25.00168426,35,NULL,30.5,0,0,10,1
25.003354,25.00692344,25.00346557,35,NULL,30.5,0,0,10,2
25.00767694,25.01146594,25.00576609,35,NULL,30.5,0,0,10,3
25.01390255,25.01683329,25.00849701,35,NULL,30.5,0,0,10,4
25.02136799,25.02287449,25.01170842,35,NULL,30.5,0,0,10,5
25.02966562,25.02946899,25.01543802,35,NULL,30.5,0,0,10,6
25.03854714,25.0365216,25.01968283,35,NULL,30.5,0,0,10,7
25.04785437,25.0439569,25.02441207,35,NULL,30.5,0,0,10,8
25.05748142,25.0517147,25.0295823,35,NULL,30.5,0,0,10,9
25.06735433,25.05974642,25.03514707,35,NULL,30.5,0,0,10,10
25.07741954,25.06801251,25.04106187,35,NULL,30.5,0,0,10,11
25.08763711,25.07648037,25.04728621,35,NULL,30.5,0,0,10,12
25.09797655,25.0851229,25.05378418,35,NULL,30.5,0,0,10,13
25.10841409,25.09391737,25.0605244,35,NULL,30.5,0,0,10,14
25.11893088,25.10284456,25.06747958,35,NULL,30.5,0,0,10,15
25.12951174,25.11188806,25.07462603,35,NULL,30.5,0,0,10,16
25.14014431,25.12103382,25.08194317,35,NULL,30.5,0,0,10,17
25.15081838,25.13026966,25.08941309,35,NULL,30.5,0,0,10,18
25.16152546,25.13958501,25.09702016,35,NULL,30.5,0,0,10,19
25.17225842,25.14897065,25.10475065,35,NULL,30.5,0,0,10,20
25.1830112,25.15841846,25.11259252,35,NULL,30.5,0,0,10,21
25.19377865,25.16792127,25.12053511,35,NULL,30.5,0,0,10,22
25.20455636,25.17747275,25.12856899,35,NULL,30.5,0,0,10,23
25.21534051,25.18706725,25.13668575,35,NULL,30.5,0,0,10,24
25.22612777,25.19669972,25.1448779,35,NULL,30.5,0,0,10,25
25.23691527,25.20636565,25.15313872,35,NULL,30.5,0,0,10,26
25.24770048,25.21606096,25.16146215,35,NULL,30.5,0,0,10,27
25.25848116,25.225782,25.16984275,35,NULL,30.5,0,0,10,28
25.26925537,25.23552544,25.17827559,35,NULL,30.5,0,0,10,29
