id,gatewayId,containerTemperature1,containerTemperatureSensorId1,containerTemperature2,containerTemperatureSensorId2,containerTemperature3,containerTemperatureSensorId3,humidityValue,humidityTemperature,humiditySensorId,hvacStateOn,hvacStateValue,hvacActuatorId,currentClampValue,currentClampSensorId,externalTemperature,externalTemperatureId,parcelTemperature,parcelTemperatureSensorId,timestamp
-1,GATEWAY,26.25,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:35"
-1,GATEWAY,26.25,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:40"
-1,GATEWAY,26.25,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:45"
-1,GATEWAY,26.25,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:49"
-1,GATEWAY,26.25,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:50"
-1,GATEWAY,26.25,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:51"
-1,GATEWAY,26.28,80_00_00_00_00_01,26.06,80_00_00_00_00_02,19.2,80_00_00_00_00_03,25.19,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:55"
-1,GATEWAY,26.28,80_00_00_00_00_01,26.06,80_00_00_00_00_02,19.2,80_00_00_00_00_03,25.19,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:59"
-1,GATEWAY,26.28,80_00_00_00_00_01,26.06,80_00_00_00_00_02,19.2,80_00_00_00_00_03,25.19,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:19:04"
-1,GATEWAY,26.28,80_00_00_00_00_01,26.06,80_00_00_00_00_02,19.2,80_00_00_00_00_03,25.19,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:19:09"
-1,GATEWAY,26.36,80_00_00_00_00_01,26.1,80_00_00_00_00_02,19.22,80_00_00_00_00_03,25.19,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:19:14"
-1,GATEWAY,26.36,80_00_00_00_00_01,26.1,80_00_00_00_00_02,19.22,80_00_00_00_00_03,25.19,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:19:19"
-1,GATEWAY,26.36,80_00_00_00_00_01,26.1,80_00_00_00_00_02,19.22,80_00_00_00_00_03,25.19,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:19:24"
-1,GATEWAY,26.36,80_00_00_00_00_01,26.1,80_00_00_00_00_02,19.22,80_00_00_00_00_03,25.19,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:19:29"
-1,GATEWAY,26.59,80_00_00_00_00_01,26.22,80_00_00_00_00_02,19.28,80_00_00_00_00_03,22.53,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.26,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:19:34"
-1,GATEWAY,26.59,80_00_00_00_00_01,26.22,80_00_00_00_00_02,19.28,80_00_00_00_00_03,22.53,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.26,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:19:39"
-1,GATEWAY,26.59,80_00_00_00_00_01,26.22,80_00_00_00_00_02,19.28,80_00_00_00_00_03,22.53,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.26,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:19:44"
-1,GATEWAY,26.59,80_00_00_00_00_01,26.22,80_00_00_00_00_02,19.28,80_00_00_00_00_03,22.53,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.26,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:19:49"
-1,GATEWAY,26.78,80_00_00_00_00_01,26.32,80_00_00_00_00_02,19.34,80_00_00_00_00_03,20.67,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.26,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:19:54"
-1,GATEWAY,26.78,80_00_00_00_00_01,26.32,80_00_00_00_00_02,19.34,80_00_00_00_00_03,20.67,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.26,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:19:59"
-1,GATEWAY,26.78,80_00_00_00_00_01,26.32,80_00_00_00_00_02,19.34,80_00_00_00_00_03,20.67,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.26,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:20:04"
-1,GATEWAY,26.78,80_00_00_00_00_01,26.32,80_00_00_00_00_02,19.34,80_00_00_00_00_03,20.67,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.26,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:20:09"
-1,GATEWAY,26.96,80_00_00_00_00_01,26.4,80_00_00_00_00_02,19.57,80_00_00_00_00_03,18.98,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.77,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:20:14"
-1,GATEWAY,26.96,80_00_00_00_00_01,26.4,80_00_00_00_00_02,19.57,80_00_00_00_00_03,18.98,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.77,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:20:19"
-1,GATEWAY,26.96,80_00_00_00_00_01,26.4,80_00_00_00_00_02,19.57,80_00_00_00_00_03,18.98,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.77,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:20:24"
-1,GATEWAY,26.96,80_00_00_00_00_01,26.4,80_00_00_00_00_02,19.57,80_00_00_00_00_03,18.98,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.77,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:20:29"
-1,GATEWAY,27.11,80_00_00_00_00_01,26.48,80_00_00_00_00_02,21.52,80_00_00_00_00_03,17.65,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.81,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:20:34"
-1,GATEWAY,27.11,80_00_00_00_00_01,26.48,80_00_00_00_00_02,21.52,80_00_00_00_00_03,17.65,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.81,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:20:39"
-1,GATEWAY,27.11,80_00_00_00_00_01,26.48,80_00_00_00_00_02,21.52,80_00_00_00_00_03,17.65,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.81,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:20:44"
