@RELATION RapidMinerData

@ATTRIBUTE 'hvac100on' {'false','true'}
@ATTRIBUTE 'hvac200on' {'false','true'}
@ATTRIBUTE 'hvac300on' {'false','true'}
@ATTRIBUTE 'valueTS100' real
@ATTRIBUTE 'valueTS101' real
@ATTRIBUTE 'valueTS102' real
@ATTRIBUTE 'valueTS103' real
@ATTRIBUTE 'valueTS104' real
@ATTRIBUTE 'valueTS105' real
@ATTRIBUTE 'valueTS_001' real
@ATTRIBUTE 'valueTS_002' real
@ATTRIBUTE 'valueTS_CORNER' real
@ATTRIBUTE 'hvac100Value' real
@ATTRIBUTE 'hvac200Value' real
@ATTRIBUTE 'hvac300Value' real
@ATTRIBUTE 'tick' real

@DATA
'true','true','true',26.591045939002175,26.56639169161331,31.006536956726116,31.853273523493062,23.298692319445035,25.565532301912544,?,16.89723369597104,34.300017505257394,50.0,50.0,50.0,114.0
'true','true','true',26.601101026437952,26.576556861033623,31.068558007255767,31.866236385059068,23.289919637991026,25.58356042798328,?,16.9156697345104,34.12501750568132,50.0,50.0,50.0,115.0
'true','true','true',26.611145329080777,26.586686647006182,31.12835903630431,31.879136981257073,23.28130594488777,25.601709410471052,?,16.934030779058922,33.95001750602085,50.0,50.0,50.0,116.0
'true','true','true',26.621178736461196,26.596781459410103,31.186042966604084,31.891976312960924,23.272855104496166,25.619970877300364,?,16.9523179795451,33.775017506303435,50.0,50.0,50.0,117.0
'true','true','true',26.63120114101273,26.606841723228246,31.241711522351217,31.904755347201963,23.264570674060472,25.638336782793242,?,16.97053246331425,33.600017506545264,50.0,50.0,50.0,118.0
'true','true','true',26.641212437956575,26.616867875799592,31.295463988265123,31.917475018708604,23.256455878653252,25.656799396715066,?,16.98867533559255,33.42501750675651,50.0,50.0,50.0,119.0
'true','true','true',26.651212525184427,26.626860364274393,31.34739637684701,31.930136231362447,23.24851359920873,25.67535129358881,?,17.00674767993463,33.250017506944005,50.0,50.0,50.0,120.0
'true','true','true',26.66120130313978,26.636819643263987,31.397600895997993,31.942739859576317,23.24074637101817,25.69398534228322,?,17.02475055865714,33.07501750711252,50.0,50.0,50.0,121.0
'true','true','true',26.671178674698375,26.646746172677002,31.44616563672536,31.955286749599054,23.233156390293686,25.71269469587839,?,17.042685013260385,32.90001750726555,50.0,50.0,50.0,122.0
'true','true','true',26.681144545048586,26.656640415733772,31.493174421069796,31.96777772075177,23.22574552671076,25.731472781810748,?,17.06055206483958,32.72501750740567,50.0,50.0,50.0,123.0
'true','true','true',26.691098821572393,26.666502837150812,31.53870676555647,31.980213566599723,23.218515340163236,25.75031329229758,?,17.078352714486932,32.55001750753488,50.0,50.0,50.0,124.0
'true','true','true',26.701041413727914,26.676333901486952,31.582837926794298,31.99259505606377,23.21146710027888,25.769210175040335,?,17.096087943685465,32.37501750765476,50.0,50.0,50.0,125.0
'true','true','true',26.710972232934118,26.686134071642954,31.625639004323016,32.00492293447506,23.2046018075309,25.78815762420465,?,17.113758714695383,32.20001750776657,50.0,50.0,50.0,126.0
'true','true','true',26.720891192458254,26.695903807506205,31.667177082168642,32.017197924576195,23.197920215034124,25.80715007167429,?,17.131365970933423,32.0250175078713,50.0,50.0,50.0,127.0
'true','true','true',26.73079820730633,26.705643564732288,31.707515395351386,32.02942072747156,23.19142285033117,25.826182178575408,?,17.14891063734569,31.85001750796979,50.0,50.0,50.0,128.0
'true','true','true',26.74069319411608,26.71535379365518,31.746713511191093,32.04159202352893,23.185110036654855,25.845248827066808,?,17.166393620774162,31.67501750806276,50.0,50.0,50.0,129.0
'true','true','true',26.750576071051817,26.725034938318043,31.784827517968914,32.05371247323369,23.178981913301495,25.8643451123916,?,17.18381581031717,31.50001750815077,50.0,50.0,50.0,130.0
'true','true','true',26.76044675770015,26.734687435616678,31.821910215547717,32.06578271799721,23.173038454868596,25.88346633518511,?,17.201178077683917,31.32501750823434,50.0,50.0,50.0,131.0
'true','true','true',26.77030517496582,26.744311714547884,31.858011304092393,32.077803380920066,23.16727948920469,25.90260799403349,?,17.218481277543216,31.15001750831388,50.0,50.0,50.0,132.0
'true','true','true',26.780151244966913,26.753908195555358,31.893177568187337,32.08977506751188,23.161704713991657,25.92176577827746,?,17.235726247866427,30.975017508389765,50.0,50.0,50.0,133.0
'true','true','true',26.789984890929446,26.76347728996584,31.927453054514707,32.101698366368915,23.156313711934907,25.94093556105518,?,17.2529138102647,30.800017508462307,50.0,50.0,50.0,134.0
'true','true','true',26.799806037081233,26.773019399508645,31.96087924190345,32.11357384981147,23.151105964577635,25.96011339257829,?,17.270044770320467,30.625017508531794,50.0,50.0,50.0,135.0
'true','true','true',26.809614608545786,26.78253491591201,31.993495203038975,32.125402074483176,23.146080864784334,25.97929549363492,?,17.287119917913298,30.450017508598474,50.0,50.0,50.0,136.0
'true','true','true',26.819410531236763,26.792024220569953,32.025337757476656,32.137183581914364,23.141237727958764,25.998478249313642,?,17.304140027540026,30.27501750866256,50.0,50.0,50.0,137.0
'true','true','true',26.829193731753985,26.801487684273724,32.056441615859576,32.148918899052006,23.13657580207411,26.017658202941977,?,17.321105858629224,30.10001750872424,50.0,50.0,50.0,138.0
'true','true','true',26.838964137281874,26.810925667002245,32.08683951542592,32.16060853875868,23.13209427660059,26.036832050233464,?,17.338018155849987,29.925017508783693,50.0,50.0,50.0,139.0
'true','true','true',26.848721675491213,26.82033851776627,32.11656234702109,32.17225300028291,23.127792290418576,26.055996633637058,?,17.35487764941504,29.750017508841076,50.0,50.0,50.0,140.0
'true','true','true',26.858466274445096,26.829726574501358,32.14563927391848,32.18385276970322,23.12366893880546,26.075148936882737,?,17.371685055378236,29.575017508896515,50.0,50.0,50.0,141.0
'true','true','true',26.868197862509636,26.83909016400496,32.17409784281039,32.19540832034814,23.119723279582228,26.094286079717506,?,17.38844107592638,29.40001750895014,50.0,50.0,50.0,142.0
'true','true','true',26.877916368270167,26.84842960191337,32.20196408736497,32.20692011319413,23.115954338502206,26.113405312825556,?,17.405146399665476,29.22501750900208,50.0,50.0,50.0,143.0
'true','true','true',26.887621720453183,26.85774519271454,32.22926262476288,32.21838859724338,23.112361113959455,26.13250401292712,?,17.42180170190141,29.050017509052417,50.0,50.0,50.0,144.0
'true','true','true',26.897313847854395,26.867037229792942,32.25601674563211,32.229814209883315,23.10894258108938,26.151579678050012,?,17.438407644915074,28.875017509101255,50.0,50.0,50.0,145.0
'true','true','true',26.90699267927304,26.87630599550319,32.28224849779534,32.24119737722911,23.105697695328388,26.170629922968487,?,17.454964878232023,28.700017509148687,50.0,50.0,50.0,146.0
'true','true','true',26.916658143452413,26.88555176126904,32.307978764234235,32.25253851445101,23.102625395493828,26.189652474803818,?,17.471474038886694,28.525017509194782,50.0,50.0,50.0,147.0
'true','true','true',26.926310169026703,26.894774787704968,32.333227335659956,32.26383802608745,23.099724606440102,26.208645168781278,?,17.48793575168124,28.350017509239613,50.0,50.0,50.0,148.0
